guid,tag,text,pic
2674,0,"RT @islamlie2: Houses in Yemen destroyed by Saudis. Muslims don't tweet this, isn't Gaza. No Jews, no UN resolutions, no news. https://t.co… ",datasets/data/2674.jpg
451,0,RT @PLTC_PastLives: Warning: Disturbing video but needs attention! #Dogs #beaten to death for #leather. #abuse https://t.co/8QgXBXzuLq http… ,datasets/data/451.jpg
2673,0,RT @RaviSinghKA: The moment I told this Bosnian man that we (Khalsa Aid )will rebuild his floods destroyed house in 2014. #humanity ,datasets/data/2673.jpg
2126,0,Smell scent of #ROSES in Ur life w/#LOVE #Abused #Dogs need help. #Sponsorship 4 Books Write-MaggieTails@gmail.com RT ,datasets/data/2126.jpg
1698,0,"""@ThatKidRalph: I was going to be a child and violate butttt I'm grown #shook ",datasets/data/1698.jpg
3827,0,Serena avoids upset against Watson to set up clash with sister Venus ∞ * 77 ,datasets/data/3827.jpg
4035,0,"RT @bigthink: With all the recent press surrounding ""the big one,"" why aren't we more alarmed? http://t.co/FhlBdH8q2R via @dropeik http://t…",datasets/data/4035.jpg
633,0,@Zerstoren_dsbm @dsbm_bot @Mrs_Explosion @D_S_B_M @BloodFrostWitch @Abruptum http:/… ,datasets/data/633.jpg
1455,0,#broken #gradient #edges #white #thin #grain ,datasets/data/1455.jpg
3949,0,RT @xojadakisss: Yall dead wrong ,datasets/data/3949.jpg
786,0,#broken #gradient #edges #black #thin ,datasets/data/786.jpg
2578,0,"RT @GavinTufte10: Thank you @TMobile for the lovely $250 warranty charge for ""damaged"" phone. #TMobile proof below. ",datasets/data/2578.jpg
4428,0,RT @xManorx: Somebody disgraced a working class memorial to Joe Hill at the Salt Lake City #IATSE local 99 hall. @IATSE @IARadar http://t.c…,datasets/data/4428.jpg
4067,0,"RT @cl_schneider: Heroes aren't born. They're beaten, betrayed, tortured, enslaved... #fantasy #IFNRTG http://t.co/YZe37zErl5 http://t.co/G…",datasets/data/4067.jpg
1948,0,RT @slone: DEAR GOD: 17 Kurdish fighters paraded in cages 'to be BURNED ALIVE' like Jordanian pilot ,datasets/data/1948.jpg
4640,0,#ashverse http://t…,datasets/data/4640.jpg
4569,0,RT @TexasTribune: Video: DPS officer became enraged over cigarette | @SophiaBollag & @tlangford: http://t.co/qJcjssIf2Y #SandraBland http:/…,datasets/data/4569.jpg
1575,0,suchimn: #Foodforthought #fadingout #horrified @itssylviaplath #quote #TweetsNow ,datasets/data/1575.jpg
